"nome","data_criacao","idade_anos","ultimo_push","dias_desde_ultima_atualizacao","linguagem","merged_prs","releases","total_issues","closed_issues","ratio_closed_issues","data_coleta"
"codecrafters-io/build-your-own-x","2018-05-09T12:03:18Z",8.26,"2026-07-14T19:25:58Z",29,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"sindresorhus/awesome","2014-07-11T13:42:37Z",12.09,"2026-06-30T18:21:16Z",43,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"public-apis/public-apis","2016-03-20T23:49:42Z",10.4,"2026-08-12T09:25:54Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"freeCodeCamp/freeCodeCamp","2014-12-24T17:49:19Z",11.63,"2026-08-12T16:38:22Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"EbookFoundation/free-programming-books","2013-10-11T06:50:37Z",12.84,"2026-08-11T12:11:06Z",1,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"openclaw/openclaw","2025-11-24T10:16:47Z",0.72,"2026-08-12T19:23:26Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"nilbuild/developer-roadmap","2017-03-15T13:45:52Z",9.41,"2026-08-07T12:43:15Z",5,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"donnemartin/system-design-primer","2017-02-26T16:15:28Z",9.46,"2026-03-20T01:52:19Z",146,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"jwasham/coding-interview-university","2016-06-06T02:34:12Z",10.18,"2025-08-28T14:42:47Z",349,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"vinta/awesome-python","2014-06-27T21:00:06Z",12.13,"2026-08-05T06:11:04Z",8,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"awesome-selfhosted/awesome-selfhosted","2015-06-01T02:33:17Z",11.2,"2026-08-12T18:50:03Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"practical-tutorials/project-based-learning","2017-04-12T05:07:46Z",9.33,"2026-08-10T07:04:22Z",3,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"996icu/996.ICU","2019-03-26T07:31:14Z",7.38,"2025-08-22T06:01:29Z",356,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"obra/superpowers","2025-10-09T19:45:18Z",0.84,"2026-08-12T16:58:26Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"react/react","2013-05-24T16:15:54Z",13.22,"2026-08-12T11:26:33Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"torvalds/linux","2011-09-04T22:48:12Z",14.94,"2026-08-12T15:31:28Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"affaan-m/ECC","2026-01-18T00:51:51Z",0.57,"2026-08-12T18:48:20Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"trimstray/the-book-of-secret-knowledge","2018-06-23T10:43:14Z",8.14,"2024-11-19T14:00:38Z",631,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"NousResearch/hermes-agent","2025-07-22T22:22:28Z",1.06,"2026-08-12T18:53:23Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"TheAlgorithms/Python","2016-07-16T09:44:01Z",10.07,"2026-08-03T18:44:56Z",9,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"mattpocock/skills","2026-02-03T11:15:53Z",0.52,"2026-08-07T15:50:46Z",5,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"vuejs/vue","2013-07-29T03:24:51Z",13.04,"2024-10-10T07:24:15Z",672,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"ossu/computer-science","2014-05-04T00:18:39Z",12.28,"2026-07-14T05:38:25Z",30,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"multica-ai/andrej-karpathy-skills","2026-01-27T03:53:13Z",0.54,"2026-04-20T10:05:04Z",114,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"n8n-io/n8n","2019-06-22T09:24:21Z",7.14,"2026-08-12T19:11:53Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"tensorflow/tensorflow","2015-11-07T01:19:20Z",10.76,"2026-08-12T19:23:54Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"anomalyco/opencode","2025-04-30T20:08:00Z",1.28,"2026-08-12T19:18:47Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"trekhleb/javascript-algorithms","2018-03-24T07:47:04Z",8.39,"2026-07-26T02:43:08Z",18,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"ultraworkers/claw-code","2026-03-31T08:58:08Z",0.37,"2026-08-06T11:18:35Z",6,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"DigitalPlatDev/FreeDomain","2024-05-30T13:23:00Z",2.2,"2026-08-12T10:36:46Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"ohmyzsh/ohmyzsh","2009-08-28T18:15:37Z",16.96,"2026-08-11T11:03:43Z",1,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"microsoft/vscode","2015-09-03T20:23:38Z",10.94,"2026-08-12T19:20:56Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"massgravel/Microsoft-Activation-Scripts","2020-01-12T23:03:34Z",6.58,"2026-07-04T16:54:38Z",39,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"Significant-Gravitas/AutoGPT","2023-03-16T09:21:07Z",3.41,"2026-08-12T19:15:27Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"jackfrued/Python-100-Days","2018-03-01T16:05:52Z",8.45,"2026-07-29T15:18:29Z",14,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"CyC2018/CS-Notes","2018-02-13T14:56:24Z",8.49,"2024-08-21T09:40:10Z",721,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"getify/You-Dont-Know-JS","2013-11-16T02:37:24Z",12.74,"2026-02-15T04:36:44Z",179,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"yt-dlp/yt-dlp","2020-10-26T04:22:55Z",5.8,"2026-08-04T22:58:34Z",8,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"avelino/awesome-go","2014-07-06T13:42:15Z",12.1,"2026-08-11T21:38:50Z",1,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"flutter/flutter","2015-03-06T22:54:58Z",11.44,"2026-08-12T18:42:59Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"ollama/ollama","2023-06-26T19:39:32Z",3.13,"2026-08-12T19:10:18Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"github/gitignore","2010-11-08T20:17:14Z",15.76,"2026-07-23T16:06:45Z",20,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"twbs/bootstrap","2011-07-29T21:19:00Z",15.04,"2026-08-12T19:15:05Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"microsoft/markitdown","2024-11-13T19:56:40Z",1.74,"2026-07-29T18:18:09Z",14,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"521xueweihan/HelloGitHub","2016-05-04T06:24:11Z",10.27,"2026-08-02T07:58:25Z",10,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"anthropics/skills","2025-09-22T15:53:31Z",0.89,"2026-08-07T17:14:15Z",5,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"f/prompts.chat","2022-12-05T13:54:13Z",3.69,"2026-08-12T03:47:11Z",1,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"firecrawl/firecrawl","2024-04-15T21:02:29Z",2.32,"2026-08-12T15:41:40Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"AUTOMATIC1111/stable-diffusion-webui","2022-08-22T14:05:26Z",3.97,"2026-03-02T07:00:53Z",164,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"huggingface/transformers","2018-10-29T13:56:00Z",7.79,"2026-08-12T19:05:52Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"jlevy/the-art-of-command-line","2015-05-20T15:11:03Z",11.23,"2024-06-25T18:13:44Z",778,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"Snailclimb/JavaGuide","2018-05-07T13:27:00Z",8.27,"2026-08-08T06:58:19Z",5,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"langflow-ai/langflow","2023-02-08T22:28:03Z",3.51,"2026-08-12T19:23:12Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"langgenius/dify","2023-04-12T07:40:24Z",3.34,"2026-08-12T19:19:25Z",0,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"open-webui/open-webui","2023-10-06T22:08:27Z",2.85,"2026-08-12T07:13:40Z",1,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
"airbnb/javascript","2012-11-01T23:13:50Z",13.78,"2026-04-16T19:24:09Z",118,"N/A",0,0,0,0,0,"2026-08-12T19:24:32.209Z"
