"nome","data_criacao","ultimo_push","linguagem","merged_prs","releases","total_issues","closed_issues","ratio_closed_issues"
"codecrafters-io/build-your-own-x","2018-05-09T12:03:18Z","2026-07-14T19:25:58Z","Markdown",157,0,942,677,0.7187
"sindresorhus/awesome","2014-07-11T13:42:37Z","2026-06-30T18:21:16Z","N/A",700,0,368,352,0.9565
"public-apis/public-apis","2016-03-20T23:49:42Z","2026-08-12T09:25:54Z","Python",2119,0,921,911,0.9891
"freeCodeCamp/freeCodeCamp","2014-12-24T17:49:19Z","2026-08-12T16:38:22Z","TypeScript",29074,0,22053,21876,0.992
"EbookFoundation/free-programming-books","2013-10-11T06:50:37Z","2026-08-11T12:11:06Z","Python",7417,0,1292,1254,0.9706
"openclaw/openclaw","2025-11-24T10:16:47Z","2026-08-12T18:44:41Z","TypeScript",24296,233,46827,43413,0.9271
"nilbuild/developer-roadmap","2017-03-15T13:45:52Z","2026-08-07T12:43:15Z","TypeScript",4387,1,3184,3183,0.9997
"donnemartin/system-design-primer","2017-02-26T16:15:28Z","2026-03-20T01:52:19Z","Python",210,0,399,127,0.3183
"jwasham/coding-interview-university","2016-06-06T02:34:12Z","2025-08-28T14:42:47Z","N/A",415,0,536,455,0.8489
"vinta/awesome-python","2014-06-27T21:00:06Z","2026-08-05T06:11:04Z","Python",738,0,0,0,0
"awesome-selfhosted/awesome-selfhosted","2015-06-01T02:33:17Z","2026-08-10T20:53:03Z","N/A",0,1,0,0,0
"practical-tutorials/project-based-learning","2017-04-12T05:07:46Z","2026-08-10T07:04:22Z","Python",194,0,239,88,0.3682
"996icu/996.ICU","2019-03-26T07:31:14Z","2025-08-22T06:01:29Z","N/A",1071,0,0,0,0
"obra/superpowers","2025-10-09T19:45:18Z","2026-08-12T16:58:26Z","Shell",166,12,834,683,0.8189
"react/react","2013-05-24T16:15:54Z","2026-08-12T11:26:33Z","JavaScript",13031,132,14612,13798,0.9443
"torvalds/linux","2011-09-04T22:48:12Z","2026-08-12T15:31:28Z","C",0,0,0,0,0
"affaan-m/ECC","2026-01-18T00:51:51Z","2026-08-12T05:55:43Z","JavaScript",986,15,703,661,0.9403
"trimstray/the-book-of-secret-knowledge","2018-06-23T10:43:14Z","2024-11-19T14:00:38Z","N/A",122,0,0,0,0
