"nome","linguagem","total_pr_aceitas","total_releases","data_coleta"
"codecrafters-io/build-your-own-x","Markdown",157,0,"2026-08-19T14:04:57.322Z"
"sindresorhus/awesome","N/A",701,0,"2026-08-19T14:04:57.322Z"
"public-apis/public-apis","Python",2147,0,"2026-08-19T14:04:57.322Z"
"freeCodeCamp/freeCodeCamp","TypeScript",29115,0,"2026-08-19T14:04:57.322Z"
"EbookFoundation/free-programming-books","Python",7423,0,"2026-08-19T14:04:57.322Z"
"openclaw/openclaw","TypeScript",26335,234,"2026-08-19T14:04:57.322Z"
"nilbuild/developer-roadmap","TypeScript",4399,1,"2026-08-19T14:04:57.322Z"
"donnemartin/system-design-primer","Python",210,0,"2026-08-19T14:04:57.322Z"
"jwasham/coding-interview-university","N/A",415,0,"2026-08-19T14:04:57.322Z"
"vinta/awesome-python","Python",741,0,"2026-08-19T14:04:57.322Z"
"awesome-selfhosted/awesome-selfhosted","N/A",0,1,"2026-08-19T14:04:57.322Z"
"practical-tutorials/project-based-learning","Python",194,0,"2026-08-19T14:04:57.322Z"
"996icu/996.ICU","N/A",1072,0,"2026-08-19T14:04:57.322Z"
"obra/superpowers","Shell",167,12,"2026-08-19T14:04:57.322Z"
"react/react","JavaScript",13034,132,"2026-08-19T14:04:57.322Z"
"torvalds/linux","C",0,0,"2026-08-19T14:04:57.322Z"
"affaan-m/ECC","JavaScript",997,15,"2026-08-19T14:04:57.322Z"
"trimstray/the-book-of-secret-knowledge","N/A",122,0,"2026-08-19T14:04:57.322Z"
"NousResearch/hermes-agent","Python",11245,28,"2026-08-19T14:04:57.322Z"
"TheAlgorithms/Python","Python",3088,0,"2026-08-19T14:04:57.322Z"
"mattpocock/skills","Shell",93,7,"2026-08-19T14:04:57.322Z"
"vuejs/vue","TypeScript",1136,249,"2026-08-19T14:04:57.322Z"
"ossu/computer-science","HTML",315,0,"2026-08-19T14:04:57.322Z"
"multica-ai/andrej-karpathy-skills","N/A",12,0,"2026-08-19T14:04:57.322Z"
"n8n-io/n8n","TypeScript",20169,767,"2026-08-19T14:04:57.322Z"
"anomalyco/opencode","TypeScript",7339,860,"2026-08-19T14:04:57.322Z"
"tensorflow/tensorflow","C++",48928,222,"2026-08-19T14:04:57.322Z"
"trekhleb/javascript-algorithms","JavaScript",309,0,"2026-08-19T14:04:57.322Z"
"ultraworkers/claw-code","Rust",143,0,"2026-08-19T14:04:57.322Z"
"DigitalPlatDev/FreeDomain","Markdown",0,0,"2026-08-19T14:04:57.322Z"
"ohmyzsh/ohmyzsh","Shell",3653,0,"2026-08-19T14:04:57.322Z"
"microsoft/vscode","TypeScript",52141,234,"2026-08-19T14:04:57.322Z"
"massgravel/Microsoft-Activation-Scripts","Batchfile",7,31,"2026-08-19T14:04:57.322Z"
"Significant-Gravitas/AutoGPT","Python",4773,117,"2026-08-19T14:04:57.322Z"
"yt-dlp/yt-dlp","Python",3405,135,"2026-08-19T14:04:57.322Z"
"CyC2018/CS-Notes","N/A",374,0,"2026-08-19T14:04:57.322Z"
"jackfrued/Python-100-Days","Jupyter Notebook",13,0,"2026-08-19T14:04:57.322Z"
"getify/You-Dont-Know-JS","N/A",370,0,"2026-08-19T14:04:57.322Z"
"avelino/awesome-go","Go",3880,0,"2026-08-19T14:04:57.322Z"
"ollama/ollama","Go",3526,245,"2026-08-19T14:04:57.322Z"
"flutter/flutter","Dart",49655,7,"2026-08-19T14:04:57.322Z"
"github/gitignore","N/A",1779,0,"2026-08-19T14:04:57.322Z"
"microsoft/markitdown","Python",183,20,"2026-08-19T14:04:57.322Z"
"twbs/bootstrap","MDX",9481,94,"2026-08-19T14:04:57.322Z"
"521xueweihan/HelloGitHub","Python",17,68,"2026-08-19T14:04:57.322Z"
"anthropics/skills","Python",50,0,"2026-08-19T14:04:57.322Z"
"firecrawl/firecrawl","TypeScript",1935,35,"2026-08-19T14:04:57.322Z"
"f/prompts.chat","HTML",236,0,"2026-08-19T14:04:57.322Z"
"deepseek-ai/deepseek-harness","TypeScript",0,1,"2026-08-19T14:04:57.322Z"
"AUTOMATIC1111/stable-diffusion-webui","Python",1875,27,"2026-08-19T14:04:57.322Z"
"huggingface/transformers","Python",20218,269,"2026-08-19T14:04:57.322Z"
"jlevy/the-art-of-command-line","N/A",317,0,"2026-08-19T14:04:57.322Z"
"Snailclimb/JavaGuide","JavaScript",1270,0,"2026-08-19T14:04:57.322Z"
"langflow-ai/langflow","Python",7306,304,"2026-08-19T14:04:57.322Z"
"langgenius/dify","TypeScript",13431,168,"2026-08-19T14:04:57.322Z"
"open-webui/open-webui","Python",4058,167,"2026-08-19T14:04:57.322Z"
"airbnb/javascript","JavaScript",822,0,"2026-08-19T14:04:57.322Z"
"Genymobile/scrcpy","C",153,52,"2026-08-19T14:04:57.322Z"
"msitarzewski/agency-agents","Shell",222,0,"2026-08-19T14:04:57.322Z"
"langchain-ai/langchain","Python",17268,1000,"2026-08-19T14:04:57.322Z"
"x1xhlol/system-prompts-and-models-of-ai-tools","N/A",52,0,"2026-08-19T14:04:57.322Z"
"yangshun/tech-interview-handbook","TypeScript",494,0,"2026-08-19T14:04:57.322Z"
"anthropics/claude-code","Python",162,191,"2026-08-19T14:04:57.322Z"
"vercel/next.js","JavaScript",28228,1000,"2026-08-19T14:04:57.322Z"
