"sprint","snapshot_at","project_title","project_number","project_url","item_id","content_type","issue_number","title","issue_state","status","assignees","url","item_updated_at"
"S02","2026-08-20T14:14:28.941Z","Kanban Lab",2,"https://github.com/users/luisajardim/projects/2","PVTI_lAHOCclxMs4Bft2czg2mJSQ","Issue",14,"Script para Snapshot de Fechamento de Sprint do GitHub Projects (Requisito 6)","OPEN","Em Andamento","pedroseabra27","https://github.com/luisajardim/Lab-Experimentacao-e-Medicao-/issues/14","2026-08-18T13:17:57Z"
"S02","2026-08-20T14:14:28.941Z","Kanban Lab",2,"https://github.com/users/luisajardim/projects/2","PVTI_lAHOCclxMs4Bft2czg2mJlI","Issue",15,"Validação dos Dados de Linguagens (RQ05), Razão de Issues (RQ06) e Definição da Fonte Externa de Linguagens","OPEN","Em Andamento","pedroseabra27","https://github.com/luisajardim/Lab-Experimentacao-e-Medicao-/issues/15","2026-08-18T13:17:59Z"
"S02","2026-08-20T14:14:28.941Z","Kanban Lab",2,"https://github.com/users/luisajardim/projects/2","PVTI_lAHOCclxMs4Bft2czg2K5o0","Issue",7,"Planejar arquitetura e estruturar esqueleto do Algoritmo Minerador","CLOSED","Concluído","alvimdev","https://github.com/luisajardim/Lab-Experimentacao-e-Medicao-/issues/7","2026-08-11T22:39:10Z"
"S02","2026-08-20T14:14:28.941Z","Kanban Lab",2,"https://github.com/users/luisajardim/projects/2","PVTI_lAHOCclxMs4Bft2czg2mJ0Y","Issue",16,"Formulação de Hipóteses Informais para RQ05, RQ06 e RQ07","CLOSED","Concluído","pedroseabra27","https://github.com/luisajardim/Lab-Experimentacao-e-Medicao-/issues/16","2026-08-18T13:38:28Z"
"S02","2026-08-20T14:14:28.941Z","Kanban Lab",2,"https://github.com/users/luisajardim/projects/2","PVTI_lAHOCclxMs4Bft2czg2mDvw","Issue",9,"Validação de Consistência e Outliers dos Dados da RQ01 (Idade em anos/dias) e RQ04 (Dias desde última atualização)","CLOSED","Concluído","luisajardim","https://github.com/luisajardim/Lab-Experimentacao-e-Medicao-/issues/9","2026-08-19T18:44:40Z"
"S02","2026-08-20T14:14:28.941Z","Kanban Lab",2,"https://github.com/users/luisajardim/projects/2","PVTI_lAHOCclxMs4Bft2czg2mEAg","Issue",10,"Formulação de Hipóteses Informais para RQ01 e RQ04","CLOSED","Concluído","luisajardim","https://github.com/luisajardim/Lab-Experimentacao-e-Medicao-/issues/10","2026-08-19T19:00:47Z"
"S02","2026-08-20T14:14:28.941Z","Kanban Lab",2,"https://github.com/users/luisajardim/projects/2","PVTI_lAHOCclxMs4Bft2czg2mDfQ","Issue",8,"Execução e extração dos 1.000 repositórios com salvamento no dataset `data/1000_popular_repos.csv`","CLOSED","Concluído","luisajardim","https://github.com/luisajardim/Lab-Experimentacao-e-Medicao-/issues/8","2026-08-19T18:39:38Z"
"S02","2026-08-20T14:14:28.941Z","Kanban Lab",2,"https://github.com/users/luisajardim/projects/2","PVTI_lAHOCclxMs4Bft2czg1_m_w","Issue",3,"Query GraphQL principal + tratamento de rate limit/erros","CLOSED","Concluído","pedroseabra27","https://github.com/luisajardim/Lab-Experimentacao-e-Medicao-/issues/3","2026-08-13T13:56:38Z"
"S02","2026-08-20T14:14:28.941Z","Kanban Lab",2,"https://github.com/users/luisajardim/projects/2","PVTI_lAHOCclxMs4Bft2czg1_nSs","Issue",4,"RQ05 (linguagem primária) + RQ06 (% issues fechadas) + preparo da RQ07","CLOSED","Concluído","pedroseabra27","https://github.com/luisajardim/Lab-Experimentacao-e-Medicao-/issues/4","2026-08-13T13:56:41Z"
"S02","2026-08-20T14:14:28.941Z","Kanban Lab",2,"https://github.com/users/luisajardim/projects/2","PVTI_lAHOCclxMs4Bft2czg1_oK8","Issue",6,"README do projeto+ KANBAN+ DETALHJAMENTO DE ISSUES","CLOSED","Concluído","luisajardim","https://github.com/luisajardim/Lab-Experimentacao-e-Medicao-/issues/6","2026-08-12T20:11:58Z"
