trial_id,developer,kata,kata_key,treatment,source,loc,cyclomatic_complexity,halstead_volume,halstead_difficulty,halstead_effort,duplication_percentage
luisajardim-kata-01-fizzbuzz-com-ia,luisajardim,kata-01-fizzbuzz,kata-01-fizzbuzz,COM_IA,trials\luisajardim\kata-01-fizzbuzz-com-ia\metrics.json,14.0,8.0,508.17,25.09,12750.39,0.0
pedroseabra27-kata-01-fizzbuzz-sem-ia,pedroseabra27,kata-01-fizzbuzz,kata-01-fizzbuzz,SEM_IA,trials\pedroseabra27\kata-01-fizzbuzz-sem-ia\metrics.json,22.0,7.0,506.88,25.85,13102.79,0.0
luisajardim-kata-02-roman-numerals-com-ia,luisajardim,kata-02-roman-numerals,kata-02-roman-numerals,COM_IA,trials\luisajardim\kata-02-roman-numerals-com-ia\metrics.json,30.0,5.0,608.41,14.83,9022.27,0.0
pedroseabra27-kata-02-roman-numerals-sem-ia,pedroseabra27,kata-02-roman-numerals,kata-02-roman-numerals,SEM_IA,trials\pedroseabra27\kata-02-roman-numerals-sem-ia\metrics.json,29.0,4.0,855.27,17.83,15248.75,0.0
luisajardim-kata-03-string-calculator-com-ia,luisajardim,kata-03-string-calculator,kata-03-string-calculator,COM_IA,trials\luisajardim\kata-03-string-calculator-com-ia\metrics.json,22.0,4.0,599.9,12.89,7733.03,0.0
alvimdev-kata-03-string-calculator-sem-ia,alvimdev,kata-03-string-calculator,kata-03-string-calculator,SEM_IA,trials\alvimdev\kata-03-string-calculator-sem-ia\metrics.json,25.0,7.0,741.14,17.53,12993.14,0.0
pedroseabra27-kata-04-bowling-game-com-ia,pedroseabra27,kata-04-bowling-game,kata-04-bowling-game,COM_IA,trials\pedroseabra27\kata-04-bowling-game-com-ia\metrics.json,30.0,0.0,27.0,2.5,67.5,0.0
alvimdev-kata-04-bowling-game-sem-ia,alvimdev,kata-04-bowling-game,kata-04-bowling-game,SEM_IA,trials\alvimdev\kata-04-bowling-game-sem-ia\metrics.json,107.0,6.33,27.0,2.5,67.5,5.66
luisajardim-kata-05-isbn-10-validator-com-ia,luisajardim,kata-05-isbn-10-validator,kata-05-isbn-10-validator,COM_IA,trials\luisajardim\kata-05-isbn-10-validator-com-ia\metrics.json,20.0,6.0,483.28,28.13,13592.34,0.0
alvimdev-kata-05-isbn-10-validator-sem-ia,alvimdev,kata-05-isbn-10-validator,kata-05-isbn-10-validator,SEM_IA,trials\alvimdev\kata-05-isbn-10-validator-sem-ia\metrics.json,12.0,8.0,575.18,34.74,19980.08,0.0
pedroseabra27-kata-06-array-chunking-pagination-com-ia,pedroseabra27,kata-06-array-chunking-pagination,kata-06-array-chunking-pagination,COM_IA,trials\pedroseabra27\kata-06-array-chunking-pagination-com-ia\metrics.json,14.0,6.0,587.63,22.4,13162.87,0.0
alvimdev-kata-06-array-chunking-pagination-sem-ia,alvimdev,kata-06-array-chunking-pagination,kata-06-array-chunking-pagination,SEM_IA,trials\alvimdev\kata-06-array-chunking-pagination-sem-ia\metrics.json,17.0,8.0,627.67,28.27,17744.71,0.0
